原始欄位代碼,欄位中文名稱,欄位英文名稱,三表來源,數值
ifrs-full:AdministrativeExpense,管理費用,Administrative Expense,損益表,3642387
ifrs-full:IncomeTaxExpenseContinuingOperations,所得稅費用（繼續營業單位）,Income Tax Expense (Continuing Operations),損益表,1136541
ifrs-full:ProfitLoss,本期淨利（損）,Profit (Loss) for the Period,損益表,3365060
ifrs-full:ProfitLossAttributableToOwnersOfParent,歸屬於母公司業主之淨利（損）,Profit (Loss) Attributable to Owners of Parent,損益表,2561591
ifrs-full:ProfitLossBeforeTax,稅前淨利（損）,Profit (Loss) Before Tax,損益表,4501601
ifrs-full:ProfitLossFromContinuingOperations,繼續營業單位淨利（損）,Profit (Loss) from Continuing Operations,損益表,3365060
ifrs-full:ResearchAndDevelopmentExpense,研究發展費用,Research and Development Expense,損益表,315706
ifrs-full:Revenue,營業收入,Revenue,損益表,38121809
ifrs-full:SellingExpense,推銷費用,Selling Expense,損益表,447255
,利息費用,Interest Expense,損益表,1088306
ifrs-full:BasicEarningsLossPerShare,基本每股盈餘（損）,Basic Earnings (Loss) Per Share,損益表,0.29
ifrs-full:ComprehensiveIncomeAttributableToNoncontrollingInterests,歸屬於非控制權益之綜合損益,Comprehensive Income Attributable to Noncontrolling Interests,損益表,977752
ifrs-full:ComprehensiveIncomeAttributableToOwnersOfParent,歸屬於母公司業主之綜合損益,Comprehensive Income Attributable to Owners of Parent,損益表,2429762
ifrs-full:DilutedEarningsLossPerShare,稀釋每股盈餘（損）,Diluted Earnings (Loss) Per Share,損益表,0.27
ifrs-full:FinanceCosts,財務成本,Finance Costs,損益表,1345674
ifrs-full:GainsOnDisposalsOfInvestments,處分投資利益,Gains on Disposals of Investments,損益表,0
ifrs-full:GainsOnDisposalsOfPropertyPlantAndEquipment,處分不動產廠房設備利益,"Gains on Disposals of Property, Plant and Equipment",損益表,3289
ifrs-full:GrossProfit,營業毛利,Gross Profit,損益表,6783334
ifrs-full:OtherGainsLosses,其他利益及損失,Other Gains and Losses,損益表,1731207
ifrs-full:OtherRevenue,其他收入,Other Revenue,損益表,390746
ifrs-full:ProfitLossAttributableToNoncontrollingInterests,歸屬於非控制權益之淨利（損）,Profit (Loss) Attributable to Noncontrolling Interests,損益表,803469
ifrs-full:ProfitLossFromOperatingActivities,營業利益（損失）,Profit (Loss) from Operating Activities,損益表,2377986
ifrs-full:RevenueFromDividends,股利收入,Revenue from Dividends,損益表,147494
ifrs-full:RevenueFromInterest,利息收入,Revenue from Interest,損益表,1237464
ifrs-full:ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,採權益法認列之關聯企業及合資損益份額,Share of Profit (Loss) of Associates and Joint Ventures,損益表,109872
tifrs-bsci-ci:GainsLossesOnHedgingInstrument,避險工具利益（損失）,Gains (Losses) on Hedging Instrument,損益表,-8286
tifrs-bsci-ci:MiscellaneousDisbursements,其他費用,Miscellaneous Disbursements,損益表,647057
tifrs-bsci-ci:NonoperatingIncomeAndExpenses,營業外收入及支出,Nonoperating Income and Expenses,損益表,2123615
ifrs-full:OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,稅前確定福利計畫再衡量數,OCI Before Tax - Remeasurement of Defined Benefit Plans,損益表,-183671
ifrs-full:OtherComprehensiveIncomeBeforeTaxGainsLossesFromInvestmentsInEquityInstruments,稅前透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,OCI Before Tax - Investments in Equity Instruments,損益表,-1293912
ifrs-full:OtherComprehensiveIncomeBeforeTaxExchangeDifferencesOnTranslation,稅前國外營運機構財務報表換算之兌換差額,OCI Before Tax - Exchange Differences on Translation,損益表,1440516
ifrs-full:OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,將重分類至損益之其他綜合損益（淨額）,"OCI That Will Be Reclassified to Profit or Loss, Net of Tax",損益表,1526127
ifrs-full:OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,不重分類至損益之其他綜合損益（淨額）,"OCI That Will Not Be Reclassified to Profit or Loss, Net of Tax",損益表,-1483673
tifrs-bsci-ci:OperatingCosts,營業成本,Operating Costs,損益表,31338475
ifrs-full:OperatingExpense,營業費用,Operating Expense,損益表,4405348
tifrs-bsci-ci:OtherIncomeOthers,其他收入－其他,Other Income - Others,損益表,243252
ifrs-full:ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossBeforeTax,權益法認列關聯企業及合資之其他綜合損益份額（將重分類）,Share of OCI of Associates and JVs to Be Reclassified,損益表,85611
ifrs-full:ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossBeforeTax,權益法認列關聯企業及合資之其他綜合損益份額（不重分類）,Share of OCI of Associates and JVs Not to Be Reclassified,損益表,2196
tifrs-bsci-ci:GainsOnFinancialAssetsLiabilitiesAtFairValueThroughProfitOrLoss-NonoperatingIncomeAndExpenses,透過損益按公允價值衡量之金融資產（負債）利益（營業外）,Gains on Financial Assets/Liabilities at FVTPL (Nonoperating),損益表,455132
tifrs-bsci-ci:GrossProfitLossFromOperations,營業毛利（毛損）,Gross Profit (Loss) from Operations,損益表,6783334
ifrs-full:CurrentAssets,流動資產總額,Total Current Assets,資產負債表,195322468
ifrs-full:CurrentLiabilities,流動負債總額,Total Current Liabilities,資產負債表,108722932
ifrs-full:Assets,資產總額,Total Assets,資產負債表,596016531
ifrs-full:CashAndCashEquivalents,現金及約當現金,Cash and Cash Equivalents,資產負債表,93299014
ifrs-full:Equity,權益總額,Total Equity,資產負債表,299322066
ifrs-full:IssuedCapital,股本,Issued Capital,資產負債表,77231817
ifrs-full:Liabilities,負債總額,Total Liabilities,資產負債表,296694465
ifrs-full:LongtermBorrowings,長期借款,Long-term Borrowings,資產負債表,54144677
ifrs-full:NoncurrentProvisions,非流動負債準備,Noncurrent Provisions,資產負債表,2067569
ifrs-full:PropertyPlantAndEquipment,不動產、廠房及設備,"Property, Plant and Equipment",資產負債表,218548953
ifrs-full:RetainedEarnings,保留盈餘,Retained Earnings,資產負債表,62929089
ifrs-full:RightofuseAssets,使用權資產,Right-of-use Assets,資產負債表,19323794
ifrs-full:ShorttermBorrowings,短期借款,Short-term Borrowings,資產負債表,5852293
ifrs-full:TreasuryShares,庫藏股票,Treasury Shares,資產負債表,979439
ifrs-full:CapitalReserve,資本公積,Capital Reserve,資產負債表,68922587
ifrs-full:CurrentContractLiabilities,流動合約負債,Current Contract Liabilities,資產負債表,2963002
ifrs-full:CurrentDividendPayables,流動應付股利,Current Dividend Payables,資產負債表,6520809
ifrs-full:CurrentFinancialAssetsAtAmortisedCost,流動按攤銷後成本衡量之金融資產,Current Financial Assets at Amortised Cost,資產負債表,28978374
ifrs-full:CurrentFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,流動透過其他綜合損益按公允價值衡量之金融資產,Current Financial Assets at FVTOCI,資產負債表,3840082
