code,nameEn,nameZh,operand1Code,operator,operand2Code
BV,Book Value,淨值,asset,-,liability
ROE,Return On Equity,股東權益報酬率,postTaxEarning,/,BV
ROA,Return On Assets,資產報酬率,postTaxEarning,/,asset
GPM,Gross Profit Margin,毛利率,grossProfit,/,revenue
OPM,Operating Profit Margin,營業利益率,operatingProfit,/,revenue
NPM,Net Profit Margin,稅後淨利率,postTaxEarning,/,revenue
OperatingExpenseRatio,Operating Expense Ratio,營業費用率,operatingExpense,/,revenue
EffectiveTaxRate,Effective Tax Rate,實質稅率,incomeTaxExpense,/,preTaxEarning
NetToPreTaxRatio,Net-to-Pretax Profit Retention,稅後淨利佔稅前淨利比,postTaxEarning,/,preTaxEarning
RDIntensity,R&D Intensity,研發密度,rdExpense,/,revenue
EBIT,Earnings Before Interest and Tax,息前稅前淨利,preTaxEarning,+,financeCosts
DA,Depreciation and Amortisation,折舊攤銷合計,adjDepreciation,+,adjAmortisation
EBITDA,EBITDA,息前稅前折舊攤銷前淨利,EBIT,+,DA
DE,Debt to Equity Ratio,負債權益比,liability,/,BV
DR,Debt Ratio,負債比率,liability,/,asset
EM,Equity Multiplier,權益乘數,asset,/,BV
ICR,Interest Coverage Ratio,利息保障倍數,EBIT,/,interestExpense
TotalBorrowing,Total Interest-bearing Debt,有息負債合計,shorttermBorrowing,+,longtermBorrowing
NetDebt,Net Debt,淨負債,TotalBorrowing,-,cash
NetDebtToEquity,Net Debt to Equity Ratio,淨負債權益比,NetDebt,/,BV
NoncontrollingInterestRatio,Noncontrolling Interest Ratio,非控制權益佔權益比,noncontrollingInterest,/,equity
RetainedEarningsRatio,Retained Earnings Ratio,保留盈餘佔淨值比,retainedEarnings,/,BV
CR,Current Ratio,流動比率,currentAsset,/,currentLiability
QuickAsset,Quick Assets,速動資產,currentAsset,-,inventory
QR,Quick Ratio,速動比率,QuickAsset,/,currentLiability
CashRatio,Cash Ratio,現金比率,cash,/,currentLiability
AssetTurnover,Asset Turnover Ratio,總資產週轉率,revenue,/,asset
InventoryTurnover,Inventory Turnover Ratio,存貨週轉率,operatingCost,/,inventory
ReceivablesTurnover,Accounts Receivable Turnover Ratio,應收帳款週轉率,revenue,/,accountsReceivable
FCF,Free Cash Flow,自由現金流量,ocf,+,capex
OCFToNetIncome,OCF to Net Income Ratio,營運現金流對淨利比,ocf,/,postTaxEarning
CapexToRevenue,CapEx to Revenue Ratio,資本支出佔營收比,capex,/,revenue
CapexToOcf,CapEx to OCF Ratio,資本支出佔營運現金流比,capex,/,ocf
ManagementCompensationRatio,Key Management Compensation to Net Income Ratio,經理人薪酬佔淨利比,mgmtCompensation,/,postTaxEarning
